,gene_symbol,gene_synonym,uniprot
0,AKT1,AKT1,P31749
1,AKT2,AKT2,P31751
2,AKT3,AKT3,Q9Y243
3,CDC42BPA,MRCKA,Q5VT25
4,CDC42BPB,MRCKB,Q9Y5S2
5,CDC42BPG,MRCKG,Q6DT37
6,CIT,CTRO,O14578
7,DMPK,DMPK,Q09013
8,GRK1,GRK1,Q15835
9,GRK2,ARBK1,P25098
10,GRK3,ARBK2,P35626
11,GRK4,GRK4,P32298
12,GRK5,GRK5,P34947
13,GRK6,GRK6,P43250
14,GRK7,GRK7,Q8WTQ7
15,LATS1,LATS1,O95835
16,LATS2,LATS2,Q9NRM7
17,MAST1,MAST1,Q9Y2H9
18,MAST2,MAST2,Q6P0Q8
19,MAST3,MAST3,O60307
20,MAST4,MAST4,O15021
21,MASTL,GWL,Q96GX5
22,PDPK1,PDPK1,O15530
23,PDPK2P,PDPK2,Q6A1A2
24,PKN1,PKN1,Q16512
25,PKN2,PKN2,Q16513
26,PKN3,PKN3,Q6P5Z2
27,PRKACA,KAPCA,P17612
28,PRKACB,KAPCB,P22694
29,PRKACG,KAPCG,P22612
30,PRKCA,KPCA,P17252
31,PRKCB,KPCB,P05771
32,PRKCD,KPCD,Q05655
33,PRKCE,KPCE,Q02156
34,PRKCG,KPCG,P05129
35,PRKCH,KPCL,P24723
36,PRKCI,KPCI,P41743
37,PRKCQ,KPCT,Q04759
38,PRKCZ,KPCZ,Q05513
39,PRKG1,KGP1,Q13976
40,PRKG2,KGP2,Q13237
41,PRKX,PRKX,P51817
42,PRKY,PRKY,O43930
43,ROCK1,ROCK1,Q13464
44,ROCK2,ROCK2,O75116
45,RPS6KA1,KS6A1,Q15418
46,RPS6KA2,KS6A2,Q15349
47,RPS6KA3,KS6A3,P51812
48,RPS6KA4,KS6A4,O75676
49,RPS6KA5,KS6A5,O75582
50,RPS6KA6,KS6A6,Q9UK32
51,RPS6KB1,KS6B1,P23443
52,RPS6KB2,KS6B2,Q9UBS0
53,SGK1,SGK1,O00141
54,SGK2,SGK2,Q9HBY8
55,SGK3,SGK3,Q96BR1
56,STK38,STK38,Q15208
57,STK38L,ST38L,Q9Y2H1
58,BRSK1,BRSK1,Q8TDC3
59,BRSK2,BRSK2,Q8IWQ3
60,CAMK1,KCC1A,Q14012
61,CAMK1D,KCC1D,Q8IU85
62,CAMK1G,KCC1G,Q96NX5
63,CAMK2A,KCC2A,Q9UQM7
64,CAMK2B,KCC2B,Q13554
65,CAMK2D,KCC2D,Q13557
66,CAMK2G,KCC2G,Q13555
67,CAMK4,KCC4,Q16566
68,CAMKV,CAMKV,Q8NCB2
69,CASK,CSKP,O14936
70,CHEK1,CHK1,O14757
71,CHEK2,CHK2,O96017
72,DAPK1,DAPK1,P53355
73,DAPK2,DAPK2,Q9UIK4
74,DAPK3,DAPK3,O43293
75,DCLK1,DCLK1,O15075
76,DCLK2,DCLK2,Q8N568
77,DCLK3,DCLK3,Q9C098
78,HUNK,HUNK,P57058
79,KALRN,KALRN,O60229
80,MAPKAPK2,MAPK2,P49137
81,MAPKAPK3,MAPK3,Q16644
82,MAPKAPK5,MAPK5,Q8IW41
83,MARK1,MARK1,Q9P0L2
84,MARK2,MARK2,Q7KZI7
85,MARK3,MARK3,P27448
86,MARK4,MARK4,Q96L34
87,MELK,MELK,Q14680
88,MKNK1,MKNK1,Q9BUB5
89,MKNK2,MKNK2,Q9HBH9
90,MYLK,MYLK,Q15746
91,MYLK2,MYLK2,Q9H1R3
92,MYLK3,MYLK3,Q32MK0
93,MYLK4,MYLK4,Q86YV6
94,NIM1K,NIM1,Q8IY84
95,NUAK1,NUAK1,O60285
96,NUAK2,NUAK2,Q9H093
97,OBSCN,OBSCN,Q5VST9
98,PASK,PASK,Q96RG2
99,PHKG1,PHKG1,Q16816
100,PHKG2,PHKG2,P15735
101,PIM1,PIM1,P11309
102,PIM2,PIM2,Q9P1W9
103,PIM3,PIM3,Q86V86
104,PNCK,KCC1B,Q6P2M8
105,PRKAA1,AAPK1,Q13131
106,PRKAA2,AAPK2,P54646
107,PRKD1,KPCD1,Q15139
108,PRKD2,KPCD2,Q9BZL6
109,PRKD3,KPCD3,O94806
110,PSKH1,KPSH1,P11801
111,PSKH2,KPSH2,Q96QS6
112,SIK1,SIK1,P57059
113,SIK1B,SIK1B,A0A0B4
114,SIK2,SIK2,Q9H0K1
115,SIK3,SIK3,Q9Y2K2
116,SNRK,SNRK,Q9NRH2
117,SPEG,SPEG,Q15772
118,STK11,STK11,Q15831
119,STK17A,ST17A,Q9UEE5
120,STK17B,ST17B,O94768
121,STK33,STK33,Q9BYT3
122,STK40,STK40,Q8N2I9
123,TRIB1,TRIB1,Q96RU8
124,TRIB2,TRIB2,Q92519
125,TRIB3,TRIB3,Q96RU7
126,TRIO,TRIO,O75962
127,TSSK1B,TSSK1,Q9BXA7
128,TSSK2,TSSK2,Q96PF2
129,TSSK3,TSSK3,Q96PN8
130,TSSK4,TSSK4,Q6SA08
131,TSSK6,TSSK6,Q9BXA6
132,TTN,TITIN,Q8WZ42
133,CSNK1A1,KC1A,P48729
134,CSNK1A1L,KC1AL,Q8N752
135,CSNK1D,KC1D,P48730
136,CSNK1E,KC1E,P49674
137,CSNK1G1,KC1G1,Q9HCP0
138,CSNK1G2,KC1G2,P78368
139,CSNK1G3,KC1G3,Q9Y6M4
140,TTBK1,TTBK1,Q5TCY1
141,TTBK2,TTBK2,Q6IQ55
142,VRK1,VRK1,Q99986
143,VRK2,VRK2,Q86Y07
144,VRK3,VRK3,Q8IV63
145,CDK1,CDK1,P06493
146,CDK10,CDK10,Q15131
147,CDK11A,CD11A,Q9UQ88
148,CDK11B,CD11B,P21127
149,CDK12,CDK12,Q9NYV4
150,CDK13,CDK13,Q14004
151,CDK14,CDK14,O94921
152,CDK15,CDK15,Q96Q40
153,CDK16,CDK16,Q00536
154,CDK17,CDK17,Q00537
155,CDK18,CDK18,Q07002
156,CDK19,CDK19,Q9BWU1
157,CDK2,CDK2,P24941
158,CDK20,CDK20,Q8IZL9
159,CDK3,CDK3,Q00526
160,CDK4,CDK4,P11802
161,CDK5,CDK5,Q00535
162,CDK6,CDK6,Q00534
163,CDK7,CDK7,P50613
164,CDK8,CDK8,P49336
165,CDK9,CDK9,P50750
166,CDKL1,CDKL1,Q00532
167,CDKL2,CDKL2,Q92772
